resource_type,attribute_path,sheet_name,header,required,order
archive_file,exclude_symlink_directories,archive_file,exclude_symlink_directories,,
archive_file,excludes,archive_file,excludes,,
archive_file,id,archive_file,id,1,
archive_file,output_base64sha256,archive_file,output_base64sha256,1,
archive_file,output_base64sha512,archive_file,output_base64sha512,1,
archive_file,output_file_mode,archive_file,output_file_mode,,
archive_file,output_md5,archive_file,output_md5,1,
archive_file,output_path,archive_file,output_path,1,
archive_file,output_sha,archive_file,output_sha,1,
archive_file,output_sha256,archive_file,output_sha256,1,
archive_file,output_sha512,archive_file,output_sha512,1,
archive_file,output_size,archive_file,output_size,1,
archive_file,source,archive_file,source,1,
archive_file,source_content,archive_file,source_content,,
archive_file,source_content_filename,archive_file,source_content_filename,,
archive_file,source_dir,archive_file,source_dir,,
archive_file,source_file,archive_file,source_file,,
archive_file,type,archive_file,type,1,
aws_dynamodb_table,arn,aws_dynamodb_table,arn,1,
aws_dynamodb_table,attribute,aws_dynamodb_table,attribute,1,
aws_dynamodb_table,billing_mode,aws_dynamodb_table,billing_mode,1,
aws_dynamodb_table,deletion_protection_enabled,aws_dynamodb_table,deletion_protection_enabled,1,
aws_dynamodb_table,global_secondary_index,aws_dynamodb_table,global_secondary_index,1,
aws_dynamodb_table,hash_key,aws_dynamodb_table,hash_key,1,
aws_dynamodb_table,id,aws_dynamodb_table,id,1,
aws_dynamodb_table,import_table,aws_dynamodb_table,import_table,,
aws_dynamodb_table,local_secondary_index,aws_dynamodb_table,local_secondary_index,,
aws_dynamodb_table,name,aws_dynamodb_table,name,1,
aws_dynamodb_table,on_demand_throughput,aws_dynamodb_table,on_demand_throughput,,
aws_dynamodb_table,point_in_time_recovery,aws_dynamodb_table,point_in_time_recovery,1,
aws_dynamodb_table,range_key,aws_dynamodb_table,range_key,,
aws_dynamodb_table,read_capacity,aws_dynamodb_table,read_capacity,1,
aws_dynamodb_table,replica,aws_dynamodb_table,replica,,
aws_dynamodb_table,restore_date_time,aws_dynamodb_table,restore_date_time,,
aws_dynamodb_table,restore_source_name,aws_dynamodb_table,restore_source_name,,
aws_dynamodb_table,restore_source_table_arn,aws_dynamodb_table,restore_source_table_arn,,
aws_dynamodb_table,restore_to_latest_time,aws_dynamodb_table,restore_to_latest_time,,
aws_dynamodb_table,server_side_encryption,aws_dynamodb_table,server_side_encryption,,
aws_dynamodb_table,stream_arn,aws_dynamodb_table,stream_arn,,
aws_dynamodb_table,stream_enabled,aws_dynamodb_table,stream_enabled,1,
aws_dynamodb_table,stream_label,aws_dynamodb_table,stream_label,,
aws_dynamodb_table,stream_view_type,aws_dynamodb_table,stream_view_type,,
aws_dynamodb_table,table_class,aws_dynamodb_table,table_class,1,
aws_dynamodb_table,tags.Env,aws_dynamodb_table,tags.Env,1,
aws_dynamodb_table,tags.Name,aws_dynamodb_table,tags.Name,1,
aws_dynamodb_table,tags_all.Env,aws_dynamodb_table,tags_all.Env,1,
aws_dynamodb_table,tags_all.Name,aws_dynamodb_table,tags_all.Name,1,
aws_dynamodb_table,timeouts,aws_dynamodb_table,timeouts,,
aws_dynamodb_table,ttl,aws_dynamodb_table,ttl,1,
aws_dynamodb_table,write_capacity,aws_dynamodb_table,write_capacity,1,
aws_iam_role,arn,aws_iam_role,arn,1,
aws_iam_role,assume_role_policy,aws_iam_role,assume_role_policy,1,
aws_iam_role,create_date,aws_iam_role,create_date,1,
aws_iam_role,description,aws_iam_role,description,,
aws_iam_role,force_detach_policies,aws_iam_role,force_detach_policies,1,
aws_iam_role,id,aws_iam_role,id,1,
aws_iam_role,inline_policy,aws_iam_role,inline_policy,,
aws_iam_role,managed_policy_arns,aws_iam_role,managed_policy_arns,1,
aws_iam_role,max_session_duration,aws_iam_role,max_session_duration,1,
aws_iam_role,name,aws_iam_role,name,1,
aws_iam_role,name_prefix,aws_iam_role,name_prefix,,
aws_iam_role,path,aws_iam_role,path,1,
aws_iam_role,permissions_boundary,aws_iam_role,permissions_boundary,,
aws_iam_role,unique_id,aws_iam_role,unique_id,1,
aws_iam_role_policy_attachment,id,aws_iam_role_policy_attachment,id,1,
aws_iam_role_policy_attachment,policy_arn,aws_iam_role_policy_attachment,policy_arn,1,
aws_iam_role_policy_attachment,role,aws_iam_role_policy_attachment,role,1,
aws_lambda_function,architectures,aws_lambda_function,architectures,1,
aws_lambda_function,arn,aws_lambda_function,arn,1,
aws_lambda_function,code_sha256,aws_lambda_function,code_sha256,1,
aws_lambda_function,code_signing_config_arn,aws_lambda_function,code_signing_config_arn,,
aws_lambda_function,dead_letter_config,aws_lambda_function,dead_letter_config,,
aws_lambda_function,description,aws_lambda_function,description,,
aws_lambda_function,environment,aws_lambda_function,environment,,
aws_lambda_function,ephemeral_storage,aws_lambda_function,ephemeral_storage,1,
aws_lambda_function,file_system_config,aws_lambda_function,file_system_config,,
aws_lambda_function,filename,aws_lambda_function,filename,1,
aws_lambda_function,function_name,aws_lambda_function,function_name,1,
aws_lambda_function,handler,aws_lambda_function,handler,1,
aws_lambda_function,id,aws_lambda_function,id,1,
aws_lambda_function,image_config,aws_lambda_function,image_config,,
aws_lambda_function,image_uri,aws_lambda_function,image_uri,,
aws_lambda_function,invoke_arn,aws_lambda_function,invoke_arn,1,
aws_lambda_function,kms_key_arn,aws_lambda_function,kms_key_arn,,
aws_lambda_function,last_modified,aws_lambda_function,last_modified,1,
aws_lambda_function,layers,aws_lambda_function,layers,,
aws_lambda_function,logging_config,aws_lambda_function,logging_config,1,
aws_lambda_function,memory_size,aws_lambda_function,memory_size,1,
aws_lambda_function,package_type,aws_lambda_function,package_type,1,
aws_lambda_function,publish,aws_lambda_function,publish,1,
aws_lambda_function,qualified_arn,aws_lambda_function,qualified_arn,1,
aws_lambda_function,qualified_invoke_arn,aws_lambda_function,qualified_invoke_arn,1,
aws_lambda_function,replace_security_groups_on_destroy,aws_lambda_function,replace_security_groups_on_destroy,,
aws_lambda_function,replacement_security_group_ids,aws_lambda_function,replacement_security_group_ids,,
aws_lambda_function,reserved_concurrent_executions,aws_lambda_function,reserved_concurrent_executions,1,
aws_lambda_function,role,aws_lambda_function,role,1,
aws_lambda_function,runtime,aws_lambda_function,runtime,1,
aws_lambda_function,s3_bucket,aws_lambda_function,s3_bucket,,
aws_lambda_function,s3_key,aws_lambda_function,s3_key,,
aws_lambda_function,s3_object_version,aws_lambda_function,s3_object_version,,
aws_lambda_function,signing_job_arn,aws_lambda_function,signing_job_arn,,
aws_lambda_function,signing_profile_version_arn,aws_lambda_function,signing_profile_version_arn,,
aws_lambda_function,skip_destroy,aws_lambda_function,skip_destroy,1,
aws_lambda_function,snap_start,aws_lambda_function,snap_start,,
aws_lambda_function,source_code_hash,aws_lambda_function,source_code_hash,,
aws_lambda_function,source_code_size,aws_lambda_function,source_code_size,1,
aws_lambda_function,timeout,aws_lambda_function,timeout,1,
aws_lambda_function,timeouts,aws_lambda_function,timeouts,,
aws_lambda_function,tracing_config,aws_lambda_function,tracing_config,1,
aws_lambda_function,version,aws_lambda_function,version,1,
aws_lambda_function,vpc_config,aws_lambda_function,vpc_config,1,
aws_security_group,arn,aws_security_group,arn,1,
aws_security_group,description,aws_security_group,description,1,
aws_security_group,egress,aws_security_group,egress,1,
aws_security_group,id,aws_security_group,id,1,
aws_security_group,ingress,aws_security_group,ingress,,
aws_security_group,name,aws_security_group,name,1,
aws_security_group,name_prefix,aws_security_group,name_prefix,,
aws_security_group,owner_id,aws_security_group,owner_id,1,
aws_security_group,revoke_rules_on_delete,aws_security_group,revoke_rules_on_delete,1,
aws_security_group,timeouts,aws_security_group,timeouts,,
aws_security_group,vpc_id,aws_security_group,vpc_id,1,
aws_subnet,arn,aws_subnet,arn,1,
aws_subnet,assign_ipv6_address_on_creation,aws_subnet,assign_ipv6_address_on_creation,1,
aws_subnet,availability_zone,aws_subnet,availability_zone,1,
aws_subnet,availability_zone_id,aws_subnet,availability_zone_id,1,
aws_subnet,cidr_block,aws_subnet,cidr_block,1,
aws_subnet,customer_owned_ipv4_pool,aws_subnet,customer_owned_ipv4_pool,,
aws_subnet,enable_dns64,aws_subnet,enable_dns64,1,
aws_subnet,enable_lni_at_device_index,aws_subnet,enable_lni_at_device_index,1,
aws_subnet,enable_resource_name_dns_a_record_on_launch,aws_subnet,enable_resource_name_dns_a_record_on_launch,1,
aws_subnet,enable_resource_name_dns_aaaa_record_on_launch,aws_subnet,enable_resource_name_dns_aaaa_record_on_launch,1,
aws_subnet,id,aws_subnet,id,1,
aws_subnet,ipv6_cidr_block,aws_subnet,ipv6_cidr_block,,
aws_subnet,ipv6_cidr_block_association_id,aws_subnet,ipv6_cidr_block_association_id,,
aws_subnet,ipv6_native,aws_subnet,ipv6_native,1,
aws_subnet,map_customer_owned_ip_on_launch,aws_subnet,map_customer_owned_ip_on_launch,1,
aws_subnet,map_public_ip_on_launch,aws_subnet,map_public_ip_on_launch,1,
aws_subnet,outpost_arn,aws_subnet,outpost_arn,,
aws_subnet,owner_id,aws_subnet,owner_id,1,
aws_subnet,private_dns_hostname_type_on_launch,aws_subnet,private_dns_hostname_type_on_launch,1,
aws_subnet,tags,aws_subnet,tags,,
aws_subnet,timeouts,aws_subnet,timeouts,,
aws_subnet,vpc_id,aws_subnet,vpc_id,1,
aws_vpc,arn,aws_vpc,arn,1,
aws_vpc,assign_generated_ipv6_cidr_block,aws_vpc,assign_generated_ipv6_cidr_block,1,
aws_vpc,cidr_block,aws_vpc,cidr_block,1,
aws_vpc,default_network_acl_id,aws_vpc,default_network_acl_id,1,
aws_vpc,default_route_table_id,aws_vpc,default_route_table_id,1,
aws_vpc,default_security_group_id,aws_vpc,default_security_group_id,1,
aws_vpc,dhcp_options_id,aws_vpc,dhcp_options_id,1,
aws_vpc,enable_dns_hostnames,aws_vpc,enable_dns_hostnames,1,
aws_vpc,enable_dns_support,aws_vpc,enable_dns_support,1,
aws_vpc,enable_network_address_usage_metrics,aws_vpc,enable_network_address_usage_metrics,1,
aws_vpc,id,aws_vpc,id,1,
aws_vpc,instance_tenancy,aws_vpc,instance_tenancy,1,
aws_vpc,ipv4_ipam_pool_id,aws_vpc,ipv4_ipam_pool_id,,
aws_vpc,ipv4_netmask_length,aws_vpc,ipv4_netmask_length,,
aws_vpc,ipv6_association_id,aws_vpc,ipv6_association_id,,
aws_vpc,ipv6_cidr_block,aws_vpc,ipv6_cidr_block,,
aws_vpc,ipv6_cidr_block_network_border_group,aws_vpc,ipv6_cidr_block_network_border_group,,
aws_vpc,ipv6_ipam_pool_id,aws_vpc,ipv6_ipam_pool_id,,
aws_vpc,ipv6_netmask_length,aws_vpc,ipv6_netmask_length,1,
aws_vpc,main_route_table_id,aws_vpc,main_route_table_id,1,
aws_vpc,owner_id,aws_vpc,owner_id,1,
aws_vpc,tags,aws_vpc,tags,,
aws_vpc_security_group_egress_rule,arn,aws_vpc_security_group_egress_rule,arn,1,
aws_vpc_security_group_egress_rule,cidr_ipv4,aws_vpc_security_group_egress_rule,cidr_ipv4,1,
aws_vpc_security_group_egress_rule,cidr_ipv6,aws_vpc_security_group_egress_rule,cidr_ipv6,,
aws_vpc_security_group_egress_rule,description,aws_vpc_security_group_egress_rule,description,,
aws_vpc_security_group_egress_rule,from_port,aws_vpc_security_group_egress_rule,from_port,1,
aws_vpc_security_group_egress_rule,id,aws_vpc_security_group_egress_rule,id,1,
aws_vpc_security_group_egress_rule,ip_protocol,aws_vpc_security_group_egress_rule,ip_protocol,1,
aws_vpc_security_group_egress_rule,prefix_list_id,aws_vpc_security_group_egress_rule,prefix_list_id,,
aws_vpc_security_group_egress_rule,referenced_security_group_id,aws_vpc_security_group_egress_rule,referenced_security_group_id,,
aws_vpc_security_group_egress_rule,security_group_id,aws_vpc_security_group_egress_rule,security_group_id,1,
aws_vpc_security_group_egress_rule,security_group_rule_id,aws_vpc_security_group_egress_rule,security_group_rule_id,1,
aws_vpc_security_group_egress_rule,tags,aws_vpc_security_group_egress_rule,tags,,
aws_vpc_security_group_egress_rule,to_port,aws_vpc_security_group_egress_rule,to_port,1,
